INSERT INTO Aluno (Name, Email, Senha) VALUES
('nPfkxhm osF4','10@mail.com','sevBwFXfx9TPVwHBwfdN'),
('6lW2nIM C5F6','11@mail.com','YoOuMxdNSg1mlDa4BvcX'),
('RSciFMI iO6I','12@mail.com','10JDit20yoR0vV4iNPsU'),
('3o1HG9Z hKRq','13@mail.com','clBob2kMWsB2KYOszQ94'),
('wwJqFAN ve0B','14@mail.com','JcVta7UrZK35W0QnleRm'),
('PWbQjlY 9y6I','15@mail.com','dnZ6C7d2aTL6aZM8F3X8'),
('cU6b7GM kboo','16@mail.com','MNM1sdj9lSPAtlCJ0M0s'),
('S0TFYJb PZfW','17@mail.com','P3ycIepkFxTC5uXe5bCJ'),
('gRZYvsK Zikt','18@mail.com','IrPxThMn5pPWvS7Gc6uu'),
('5o0JtKF PuPJ','19@mail.com','y47j7R6dZPNRcIityV34'),
('C5vRr1R uNBf','20@mail.com','dYDJTqPNyWTpWPLqCaEO'),
('ElY5SjH hBNi','21@mail.com','uKQRFDzDqdEVMd4cuSKa'),
('u0KU1lx 63HW','22@mail.com','G5tYHSVY8Q4XiGjtympb'),
('WzEzs7j JgC1','23@mail.com','EtHbJi7nVM5zbfs5hhsx'),
('9M86ocG Naq8','24@mail.com','zb5y0TiWdyc4cVBwpwFu'),
('uU9A18W GMOx','25@mail.com','SATkzYwhJ6k6lPvVNfON'),
('OtLiuzQ VC7P','26@mail.com','yDy3dg4OXanQuDOlXJsn'),
('HmBZF2K KbM6','27@mail.com','HhkI4GvzTLBiu9V3Pj2h'),
('al4AUMf 1uyw','28@mail.com','ZMUTLJHMeQ2VLhuPbftN'),
('OBm6zF5 rIVJ','29@mail.com','L30u0lIQpuir3JiKmmBj'),
('vcn095S rAFF','30@mail.com','Zjx79GGjr48saarVfhi7'),
('HY71mC1 2K0Q','31@mail.com','5gnOGQZkcAx1FfcFxPdR'),
('kUkJALb n1Ub','32@mail.com','wscmZhaLyp6M9C8U1i77'),
('3EbECJJ nzbT','33@mail.com','cBzG8SHfLX2WGmQvVwsT'),
('JO5g8fm p1xM','34@mail.com','Vp38JIk5o8McvkMK1kCb'),
('248FgAq tGys','35@mail.com','WS7hLSazu7RsXSNzznEX'),
('SIMplpY JVu0','36@mail.com','Uhz0e9bJgVn9Nvmuy0j3'),
('ujEO4q2 JV1h','37@mail.com','mjU7udKhstQd3qbHEArR'),
('VuuuQgu CGFu','38@mail.com','K2k4FpOzfQ9RfrKPmvGU'),
('PIygEry 1BzF','39@mail.com','cE24LCCSYohTYihIDlvO'),
('phNRCBP k2V6','40@mail.com','m8YH6zbb8VY7v3X6XLyk'),
('f0PnNBU xSBf','41@mail.com','w9g4m7hYHSj9pyVha8F2'),
('BkWbKH3 BXKP','42@mail.com','JX0ojrNRyVWcvj6jtWFX'),
('znJPRBs rTJj','43@mail.com','b3OCesxOReHenfcAezzj'),
('OujV6zg nsR5','44@mail.com','1Az5gIe0YnA9MZG977YI'),
('65iVAhY 8PDT','45@mail.com','TU9ys9Ahjx57huPC4xjy'),
('bBjM84R EL1G','46@mail.com','lJtYyYNyAyskUPbgZX4t'),
('xkbCZVH rstG','47@mail.com','C1j3xSaZpQfkamNGjlrY'),
('lEzOZhX OJRE','48@mail.com','bufZwXv9vZLT6xHe3Qr7'),
('eykVevp L8HZ','49@mail.com','aQU2izGjnR3OVeKDhphE'),
('3QlGRSJ oCHR','50@mail.com','RHOY0YqZqOKfKQhWq7NS'),
('GBhFDh3 60RL','51@mail.com','AQIVUqHt9U4kTdekFOQZ'),
('jFaxiyQ 1tfJ','52@mail.com','ebRmxZh5Wp91i0Tynrn9'),
('DIb7th8 7M6l','53@mail.com','qsUarqBkv4leNf0O5mWg'),
('fB9Dl9Y 339X','54@mail.com','Xz7LNSkjhHkd0fuxDTMF'),
('g9F9gHd zSXD','55@mail.com','HARWLV0LlRPXktFODXoe'),
('M312lIA Q7ET','56@mail.com','vJYBoVdhaQqElO6jW36R'),
('Zg5LkHS yR7I','57@mail.com','EBoXrHP0z0QpYiH9Fi4X'),
('FgXUOUu TO9p','58@mail.com','IhoQ7efNCXu7iuXOAOLh'),
('h3KKRu1 k9pY','59@mail.com','CZF5uMPTBJpYKSIts48a'),
('JjZuxbm 3vvH','60@mail.com','JN7Uqmyw86P0VIlPFIKl'),
('7z75obK tTCc','61@mail.com','3dXaNLsVUW1JmQGeUohT'),
('mev24nS jAC1','62@mail.com','dwkN9MUlLIiO2PWWn6yh'),
('6igGdMD BoUm','63@mail.com','2pO066pcyN6x8DE8E4ZU'),
('07OxRZH UUK1','64@mail.com','Wy2dranTP3mHQb2dzw8d'),
('LBiOEpp BfwN','65@mail.com','HipNrzLFfuneII9jTJgR'),
('14Bv2LO rGUi','66@mail.com','3fLUDJqVEXtxHHmneB2M'),
('hd9ugwM okZb','67@mail.com','QSNjhKouaEabrihyZWXf'),
('mu8iW7H cA9W','68@mail.com','CaooG6xbMwc1sVt8i4uh'),
('TNovcCQ ISSS','69@mail.com','Q686DE7SYUS8MsgYRWVB'),
('EZvuIXV 0iis','70@mail.com','62oUuIRqpQiFuG9e4snE'),
('W0OHhlQ e0I2','71@mail.com','0dN1IOT78yxGZBKr2B69'),
('BoXRRUw VZfT','72@mail.com','g1W6F6Sn7IP35G3ew3HM'),
('T9jDyGM EA1n','73@mail.com','D4S9s5nM5rjAJpUM4zaU'),
('VShnfUO iyqS','74@mail.com','HoxGaSA6LuZPagIhpOap'),
('RcSc11s 1ZWL','75@mail.com','ndKVxwwgM7nTNUAtJ4ky'),
('KLNtQQW eezJ','76@mail.com','SkGdAXa5GmwRLEcQZTGv'),
('vYMPTNc rpWT','77@mail.com','oWmoIpiO1Y74Vne3RTfZ'),
('tvktjAL 2lE7','78@mail.com','OzGzDlWxZvzhcmKcLBSL'),
('r5N8fmJ Frus','79@mail.com','opdiibTQ7mjLONwxjGjW'),
('ttJXpl7 TFCl','80@mail.com','uoQBEkf0gZGVmN0aYLd8'),
('8UJdRT3 ZE4g','81@mail.com','zx0SmKK0BIVJcEtBVYc8'),
('NUzCtEa BPqW','82@mail.com','GgtOV6ygMGK0yQDvDRUs'),
('VM6S1MU OjwA','83@mail.com','TTiFkklUZ8G5LNKj6jfH'),
('V4blfrq 60A4','84@mail.com','fCd1DGy93DsfP5lEx6Gc'),
('Y8gjgFI 2Ppc','85@mail.com','xIsDHAdzBuf4pPYsNWt6'),
('LgcwuLV 5DM2','86@mail.com','NqgNsAvzgfGu3zo3yztN'),
('6nNTGgi Ad3n','87@mail.com','2ux8OpYMVTRPb26aePQ2'),
('mjD8lja NNjo','88@mail.com','3p8tgS9MOrMVS3AxEdix'),
('3p7V4Mt kLHL','89@mail.com','jXkGivDSEkYIlMn21H0D'),
('L4KxQR7 9HD9','90@mail.com','6yFthEZsEuQaNTpYinzk'),
('sooagiC B0tF','91@mail.com','IypvUHeGzYzq7XaSxT6R'),
('YTBeMLo wFxU','92@mail.com','1298CQlHuS3flG2Nmxvy'),
('8lRwVHv xEhg','93@mail.com','k6k58PzFJfjQmvM5Ic1D'),
('02SUwQR Sc9t','94@mail.com','T5JCKiTQArZl45uFKz9d'),
('KZQvmQD JIp0','95@mail.com','nQgehSlYp9haFIpuksdE'),
('uGFyZmS lOEb','96@mail.com','3M9AETstoej8Bx9RaAa6'),
('LjCEz5e gUBr','97@mail.com','tjjSysLm4cg0Lzs8GaFW'),
('6JrkbaW ACDK','98@mail.com','mCM2i8QEHq1PPsNnjDHK'),
('MqpFBvr pQzp','99@mail.com','YQyIUc2KJSOGQsDljszm'),
('WJ86fLK 7QpW','100@mail.com','LCWtdL4s5gGrSyrd8O87'),
('osccxNa PSfg','101@mail.com','WEvyKVfKZoAXp9VsozgR'),
('xfJERGl Yke4','102@mail.com','LYd31RyeKvt6aOfURqv4'),
('1g2KOox Z6YF','103@mail.com','Zp1FdQReXFaLHHfTcOLI'),
('RXX3xrf Bj8q','104@mail.com','gsSslsI0bEjMAlcWf5fl'),
('q5A0r7X Rf0m','105@mail.com','ABe676A96tT6ISGl0EfY'),
('VOQNFQP Xx5x','106@mail.com','q9wu2hZmXUF4F0Re2wss'),
('rY5O4IJ vs6q','107@mail.com','2PcYvuzDJpJ10oM7M2nv'),
('bonyXHY 1HeR','108@mail.com','xgR7fPXvcG4M4WYbwBAx'),
('fKj5pvn ivI0','109@mail.com','0ec04tp2kFTGAAm0zjYf'),
('7Av4VL2 1oQu','110@mail.com','AG7H56yEUwclZySV8Rmo'),
('5YAi3u6 Q2de','111@mail.com','vspZ4BZdXvMTP4rKRmvb'),
('Y2kOxSi Tm6n','112@mail.com','uMIUX7bOrhHKGmDOMYad'),
('6dA6uvl fS60','113@mail.com','mPcpPIzFgSsjaZa4dYrp'),
('RSihTJ2 Yjgm','114@mail.com','dtHlR6mE7KLcJZOo66CW'),
('DjsKMgi zBu1','115@mail.com','CZZUEmP9lE5a0ZOMV6Wr'),
('7fGhh57 uMzu','116@mail.com','KeNlkKSTpVB6SHqM9qkw'),
('iZuTmkY xm1A','117@mail.com','kauGovh9mOW0GHINVMdR'),
('Ojulx40 4PQk','118@mail.com','zEoHTjl7pwmBxCUTnhFt'),
('ZSIpE00 jWwS','119@mail.com','y11AvThrSjKdYuqPIq8b'),
('bTpxLo6 xEUt','120@mail.com','jS1muI8vmaGDRab4xv1j'),
('5srUAue t5dk','121@mail.com','B0wXcKrREC3Y1UKQAKeY'),
('mcd0xGm uxvv','122@mail.com','lGyPL2T8SBZiU7Ob353Z'),
('VDaQHnw pe9G','123@mail.com','dVGpJ1ukC5o3JmHH8sAX'),
('zsrSwfQ zhiS','124@mail.com','7QT8tsjJuYrJqWttk1Kg'),
('xuqWkOW 4vmc','125@mail.com','jcKjmXocwfNPLyGZ5nM3'),
('0gMMDBf 0KNo','126@mail.com','7mLmGMOzKbbNTlvj9S7P'),
('zgxoCEs EKlm','127@mail.com','0fX9Iwc4xr5ZuFUjarEh'),
('EQDbzb7 QDc2','128@mail.com','A8pf9NDWfgEt77ff74Y3'),
('mRbpQGG MUpS','129@mail.com','Bg52GYKa0jfGxzR2gM5q'),
('bpBvrw4 c17R','130@mail.com','2YzxS55lIG9P84pfWQcp'),
('Q8uWICS QcWU','131@mail.com','ukAJ5I8ClLWtM8zuiTD3'),
('FJo9djH CfIP','132@mail.com','0l9Qs1lSZVusvhDqWnH4'),
('gDoCkrF FH9w','133@mail.com','BAl8TnAp55su3n33d6Jz'),
('6gyB91J m0Lg','134@mail.com','hscFz1qtFZtuaJ1oXuDp'),
('pJx0aoS 9Z5h','135@mail.com','XoKXLU5ZXkfG8H9WCFpX'),
('uuNQqN8 OnNu','136@mail.com','1Ozp3Qc0uUDfyP2D6tBr'),
('cAWJ2Lv 2TGs','137@mail.com','g6FaPFu15LTGimkAn8Mt'),
('2E3VYXb pzfi','138@mail.com','BNN8yTycgmPNqkyeQtxP'),
('VOv6vQC yeaS','139@mail.com','fx3dMARR8mKAwArkQXyi'),
('BLqpxiK xWPn','140@mail.com','yDuHVIcZDHPXrV7UPaq8'),
('RYDSiKw PPJV','141@mail.com','sbGOqFKABiUYsLixlc3l'),
('UBQKf6h VDKe','142@mail.com','vsLi60ZOoGhMfiCpWYET'),
('eA6du3n tXkN','143@mail.com','fWgLMZW42TgVar4cnnPz'),
('7843i0o Qdq5','144@mail.com','VTEnWlqMyCIA5NHQD8cC'),
('dwvQ6ho Ks4n','145@mail.com','HZ0Ot9PaNJkodbPqANkT'),
('QmlA4NV SrLg','146@mail.com','v6MzkPj76gSsLpKx3ZI5'),
('l8Ev5w5 iAwU','147@mail.com','cUHQBWMoO9kSyj6FtluZ'),
('IVOPunL nuAd','148@mail.com','gG6TzNbHi6JxuwPK1qcq'),
('1IJ3uQt BsWW','149@mail.com','vtKw0dQKwjMHc2YYHqSj'),
('mM6BL6q YAIP','150@mail.com','3SMcpFViqOfHY30UiWD3'),
('WoK8bkW zSM1','151@mail.com','SUkoB3ULdZRcRxBOUf20'),
('WnRNxwK JQYd','152@mail.com','4tM4rUHWdHZk7ucf6DqC'),
('AZwZZlR QR5O','153@mail.com','G2XXCM6CUCRPJksNAImC'),
('XntoSUe QA6k','154@mail.com','MMvi98jgloYC7z3E44Ul'),
('RdGyjvY cyVC','155@mail.com','JRKKTfsiYvjNwbippxng'),
('KOTfLnr dk0r','156@mail.com','Wkoi1pWaKXsXeYwSwxHu'),
('k601Cio GNJp','157@mail.com','83mkaonn4zjxxOCbFFqw'),
('cexp08x 5rte','158@mail.com','TO2XVmwKe46WhqPLWKm5'),
('o446IlE ejoX','159@mail.com','E6sAcFzX0T9nr4FnX0so'),
('4LwfG8Q nK7f','160@mail.com','nLMibQgsd67UKTSDhVYC'),
('7g1YTYT AuP1','161@mail.com','MVU1YHFbyNxNpOY9Y6UP'),
('vmXJ0YF eO9I','162@mail.com','sDMOIhUKJha8uIKzkmlz'),
('uSsooGi 8UpF','163@mail.com','ReE1kVo7FMW2wV7X55Nw'),
('kvQ2m22 PfSn','164@mail.com','Cyew01gsxTFwWoPc2auq'),
('hHU2Qmt 3HmU','165@mail.com','BYZ2km8PxMVurwh3YDil'),
('JBc7Y31 b368','166@mail.com','z1soOiypRLsvqtK7Hc0I'),
('qYeX6eA Mnnv','167@mail.com','UfNyAZiKXYmkJyqP4cFc'),
('ZWsENA5 QbCX','168@mail.com','SH1encFs5dN9oQ9hRK0o'),
('bRrwQUw K7Nn','169@mail.com','brsaAkf2plsdL1f3LFrE'),
('A6tFjK2 C29S','170@mail.com','tXk63uXMnlTNsFgoYt6e'),
('i1ASIBo H8l8','171@mail.com','NtuHUa5uLc4I7sMpyEFp'),
